Id,product_id,rating,review_title,review_text,timestamp,date,year,month,text_length,sentiment_label,ai_sentiment,ai_confidence,sentiment_score
508414,B004M1DJUG,5,Best gluten free pasta on the market!!!,I have tried just about every gluten free pasta available and this is hands down the BEST I have had. Riso Bello has improved on an already great product by adding buckwheat to the mix. This pasta cooks up perfectly al dente in about 8 minutes. Remember to always salt your water like the sea. I actually think this is better than regular pasta I have had in my pre-celiac diagnosis past life! To my Celiac and Gluten Free friends....you will not be disappointed with this product.,1302912000,2011-04-16,2011,4,481,Positive,Positive,0.9979,0.9979
351681,B000I1MBO4,3,Dry,"I routinely purchase my dog treats through Amazon, for convenience, cost and quality. Unfortunately my last few orders of the Beefeaters Duck Fillets (1 lb jar) have been dry and powdery. My dog still eats them but I have to augment the snack with others. I depend on Amazon but quality control isclacking....?",1349222400,2012-10-03,2012,10,310,Neutral,Negative,0.9982,-0.9982
206064,B000EDK5LM,5,Bob's Red Mill Gluten Four,I bought this product and love it. I have decided to buy much more of the flour here in the future. You won't regret buying it.,1343174400,2012-07-25,2012,7,127,Positive,Positive,0.9996,0.9996
129502,B000F4DKAS,4,"My new ""everyday"" green tea","I've been bouncing around from one brand of green tea to another for some time now, everything I could find in the budget priced range, from supermarket brands to specialty offerings from Costco and Trader Joes. Yes there are some wonderful and exotic greens out there, but I'm talking everyday stuff that won't make me feel *too* guilty while my husband enjoys his own favorite: Lipton's Eu De Ubiquitous Yellow Box. (Because even the cheapest green costs considerably more, ounce for ounce, than ""default"" orange Pekoe.)<br /><br />Anyway, I think I've finally found the stuff.<br /><br />Twinings Green has a bright quality that is maybe a *bit* strong on the tannins, but doesn't have that vegetal taste that green teas can. I'm no expert -- for all I know, this translates to ""something missing"" to a connoisseur, but my less educated palate perceives some greens as ""mown alfalfa"" -- not my favorite flavor.<br /><br />And the tea is smooth. Newbies should know that you want to steep green tea in water that is only just getting hot; boiling water will give you a nasty, bitter taste that only gets worse as it cools. I'm ready to try the Twinings as an iced tea -- even at room temperature, I'm detecting nothing but green-y goodness.",1290038400,2010-11-18,2010,11,1242,Positive,Positive,0.9862,0.9862
9570,B001EQ5IPQ,5,love the water hate the price!,I get these for $4.34 at my local health food store - their price sucks! It is one of the best tasting coconut waters around though!,1336780800,2012-05-12,2012,5,132,Positive,Positive,0.9992,0.9992
418231,B000YTAXBS,5,Best Tea in Town,"I like drinking tea, hot or cold and Bromley Decaffeinated Tea is the best. The favor is wonderful not bitter, just the perfect favor for a cup or glass of tea.",1284940800,2010-09-20,2010,9,160,Positive,Positive,0.9999,0.9999
471237,B00451UN84,5,One of the best I've tried!,"I've tried just about every brand of coconut water. I find the Blue Monkey brand delicious...on par with Amy & Brian's and C2O, which I consider to be the best. Blue Monkey is a product of Thailand (like A&B's and C2O), therefore the coconut water is naturally sweeter and more flavourful than the Brazilian-origin coconut water brands such as Zico and VitaCoco (which I find to lack flavour).<br /><br />The current price of Blue Monkey on Amazon beats the price of A&B's and C2O so no reason not to buy!",1315440000,2011-09-08,2011,9,505,Positive,Positive,0.9972,0.9972
269304,B000VZXO0M,5,Really tasty,"My daughter started eating these while she was 8month and loved them. They melt really fast in your mouth and they taste very good. Its not sweet but its not tasteless, it has a very creamy/milk texture to it.",1343952000,2012-08-03,2012,8,209,Positive,Positive,0.9998,0.9998
301638,B001LN4IZS,5,Chocolate Orange,"We used to buy this product in Houston years ago. They have gotten very difficult to locate in stores. I was pleasantly surprised with how quickly they were shipped. They arrived in perfect condition. This was a concern, as I have never had chocolate shipped. Chocolate and Orange taste amazing together. A must try.",1334620800,2012-04-17,2012,4,316,Positive,Positive,0.9996,0.9996
153453,B000EH4ELU,5,"Tasty, HEALTHY, with LOW  carbs, low sodium TREATS!!!!!","I had these at a meeting, and FELL in love with them!<br /><br />Low calories, TASTY, low carbs, low Sodium!!!<br /><br />And they are WITHOUT the wheat, whey and gluten additives and OTHER preservatives!<br /><br />I purchased some at Costco, here and they are SO liked, that Trader Joes's is also carrying them.<br /><br />They come in individual serving sizes to prevent over-indulgence.",1180742400,2007-06-02,2007,6,390,Positive,Negative,0.7448,-0.7448
294039,B000CMIYZE,5,Another amazing product!,"I recommend that you use two or three bags at a time, it works! Also the flavor is INCREDIBLE! Sweet and minty!",1218067200,2008-08-07,2008,8,111,Positive,Positive,0.9999,0.9999
410952,B000HQOXZK,4,"Great texture, great flavor, highly addictive","I'm giving these a slightly less than perfect rating simply because they aren't as good as the original Shrimp Flavored Chips (without Wasabi). The wasabi is kinda weak - I was hoping for something that would take my breath away like real wasabi - but the flavor is there - just not as much kick as I was hoping for. I think if they made the commitment to stronger wasabi, it would have been a 5-star product. Nevertheless, they are really good.",1194739200,2007-11-11,2007,11,445,Positive,Positive,0.5668,0.5668
123557,B000VMBE8E,5,Best most decadent chocolate ever!,"If you are looking for something to ease that chocolate craving but also want something healthy, low fat, high fiber, & organic, this is it! This is the best chocolate cookie ever. Reminiscent of Oreos, but Waaaaaaay better! And Good for YOU! I am so excited about finding these. I can eat chocolate and not feel guilty!",1220140800,2008-08-31,2008,8,320,Positive,Positive,0.9999,0.9999
350679,B003LJ8RFM,5,INCREDIBLE,I expected to like this but I was overwhelmed at how good it actually is! It is a bit expensive but I would rather treat myself to this tasty treat than spend any money on junk food that has no nutritional value.<br /><br />Best thing is the taste. What a find!,1318464000,2011-10-13,2011,10,261,Positive,Positive,0.9966,0.9966
476128,B001EQ4EHE,5,Always shop around for the best price,I find this to be the best price anywhere. I've been firing this stuff back for more than 30 years although the sugar free is relatively new. I made the switch a while ago and watched the weight drop. Not sure why more people don't use this product. Also it's a great substitute for ensure for the older folks. That stuff is lousy. Seriously love this stuff and so does my kid.,1326844800,2012-01-18,2012,1,377,Positive,Negative,0.6583,-0.6583
279437,B0001IOSDQ,5,If you like Chinese roast pork...,"If you like Chinese roast pork, this is the best marinade there is. Easy, fast and great. I marinade it in a plastic baggie and extract as much air as possible.",1252540800,2009-09-10,2009,9,160,Positive,Positive,0.9969,0.9969
470355,B001E5E3X0,5,panni potato dumplings,Unless you can successfully make these from scratch this product does the job. Homemade is always best but these come really close.,1233532800,2009-02-02,2009,2,131,Positive,Positive,0.998,0.998
15063,B002ACI89Q,3,Red Thumb needed,"I do not have a green thumb. Thankfully I'm great at feeding things, animals, children etc. This plant arrived with minimal bud damage. However once ""fed"", she sprung back to life. If you're squeemish around insects and worms, this is not for you. If you enjoy nature at its best but live in suburbia, this offers a mini escape into the jungle :)",1322784000,2011-12-02,2011,12,346,Neutral,Positive,0.9409,0.9409
404546,B003EEIWY0,5,Veggie Chip Review:,"I used to be able to buy these in my hometown grocery store but they have now discontinued them, unfortunately. I LOVE these chips! They are so tasty and have such a GREAT crunch. They are so easy to grab and go. A healthy alternative to candy or potato chips. The price I can buy them for on Amazon is actually cheaper then what I used to buy them for in our grocery store. Thank you Amazon for carrying one of my favorite snack foods!!!",1288656000,2010-11-02,2010,11,438,Positive,Positive,0.9996,0.9996
180145,B000M2UNG2,5,Great price and tastes fresher than store bought!!,"A case of Pop-Tarts my seem to much, however, my three children and eat'em up! These seem to taste fresher than ones we've gotten in the grocery store and they had well over a year before the ""best by date"" stamped on the box.<br /><br />I'm very pleased with buying these off off Amazon.com!!",1247011200,2009-07-08,2009,7,293,Positive,Positive,0.9977,0.9977
316426,B002ATCFX4,5,One of the best hot sauces I've tried,"As a self-proclaimed connoisseur of hot sauces, I would have to say that Melinda's Naga Jolokia is my absolute favorite. While not as hot as some of the other sauces made form the Bhut Jolokia (Ghost Pepper), it definitely has the best flavor of the ones I've tried. That said, it is still very hot and there have been times my digestive system has hated me for using too much. As far as Melinda's sauces go, I would consider this one of the best ones, and as a fan of Melinda's, that's pretty good. As for heat, I would consider Dave's Jolokia sauce a little hotter, but I'd choose this everytime, just because the flavor is better. But then again, that's just my opinion. Get both and try for yourself...and get that whole milk ready.",1329696000,2012-02-20,2012,2,736,Positive,Positive,0.9996,0.9996
142598,B001VNFHLC,5,Very Pleased!,I had been buying a far more expensive Cocoa from Whole Foods until I found this product. I put the two together side to side and did a taste comparison of the two. Hands down this product is much richer in cocoa flavor than the more expensive one. Hershey's doesn't even come close. I am a big fan and will continue to buy this cocoa.,1333411200,2012-04-03,2012,4,335,Positive,Positive,0.955,0.955
387752,B000FKL0D6,5,Licorice Altoids,Liqurice Altoids are the best of the lot but they're hard to find<br />in the stores. I give them two thumbs up for their clean and curiously<br />strong flavor.,1191196800,2007-10-01,2007,10,161,Positive,Positive,0.9997,0.9997
194631,B003ZT61E2,5,I LOVE THIS PRODUCT!!!!!!!!!,"The Peppermint Mocha flavor of this instant coffee is amazing! I have tried other flavors, but this is my very most favorite!! The taste is wonderful and it mixes well whether I used a lot of the mix or just a bit in a brewed cup of coffee!! The aroma of this beverage is wonderful. The peppermint enhances the taste rather than overwhelming it. Try this coffee and you will be hooked!! I only hope it is not just available for the holidays!",1322092800,2011-11-24,2011,11,441,Positive,Positive,0.9999,0.9999
278797,B002OF2V9C,5,I can't believe how delicious these are,I've tried a lot of health foods and healthy snacks. These are - hands down - the most delicious I've tasted. I'm so glad for the portion-control bags too. These are a wonderful product!,1311033600,2011-07-19,2011,7,186,Positive,Positive,0.9998,0.9998
510,B000G6RYNE,1,Surprise 1  It's different...,"Kettle chips now look, feel and taste like Lays. These chips used to be my favorite when it was crinkle cut and hefty. Now, no longer my favorite.",1252713600,2009-09-12,2009,9,146,Negative,Negative,0.9981,-0.9981
111758,B002OFOJ1K,5,The best 100 calories!!,"This is the PERFECT SIZE!!! I love Raw Revolution's bar variety...but the full size bars can be a bit too rich and filling, especially right before a workout. I'll eat half of the regular size before and the other half for recovery, but its so slippery/ oily that I've lost the ""other half"" a few times. I actually wish all flavors came in 100 calories. The Cashew agave is my fav everyday bar. Perfection would be more 100 calorie mixed packs!!!",1329264000,2012-02-15,2012,2,446,Positive,Negative,0.9787,-0.9787
535585,B000NV83EG,5,Best flossie - quality and consistency,"My three Malamute mixes love these Merrick Flossies so much that they have become a night time ritual. Helps with the evening ""go out and do your business and hurry back inside"" part of the evening because they know that there is a Flossie waiting for them.<br /><br />I love that the quality, size, and dependability of Merrick Flossies can't be beat. They last, don't upset my dogs' digestive systems and are easy for my dogs to manage. One dog licks his, another devours hers and the third carries his around until it gets soggy, then he chews it. Each has a style all his/her own, and the Flossie suits each one perfectly.<br /><br />Buying a large box saves time and money - and I don't run out, which is important since the Flossies are an important part of our bedtime / quiet time ritual.",1250035200,2009-08-12,2009,8,796,Positive,Positive,0.9962,0.9962
27355,B004LLBVXY,5,seasonings for all occasions!,"Chef Paul has some excellent seasoning blends. The fact that this blends are offered in this combination, makes it very handy to have around the kitchen. These seasoning blends go well with my palate!",1336953600,2012-05-14,2012,5,200,Positive,Positive,0.9998,0.9998
237818,B0029XEY5I,5,Excellent,This is so fabulous. I will definitly be ordering again. Arrrived quickly and quality was beyond my expectations. Thank you so much,1329264000,2012-02-15,2012,2,131,Positive,Positive,0.9998,0.9998
518555,B0002YW26E,5,Just what we needed in our house!,"Have ordered these 3 times now and 12 packs lasts around 1-2 months for me. We use these everywhere in the kitchen, office, and bathroom -- and it will catch large and small roaches, crickets, and occasionally small spiders. We usually place 3-4 in the same area though to up the chances that something will wander in.",1339545600,2012-06-13,2012,6,318,Positive,Negative,0.747,-0.747
226763,B006BXV1H6,5,Might be better than Count Chocula,"The highest compliment that I can give this cereal is that it might be better than Count Chocula. The people who say it doesn't taste like chocolate have defective taste buds. Don't listen to them! Also, it does get a little soggy after a while but that just means you're not eating it fast enough. When you're eating this cereal pay attention to what you're doing don't be talking or messing around just sit there and eat it then it won't get soggy. Finally, all you one star people are wrong and the 5 star people are geniuses like me.",1334880000,2012-04-20,2012,4,537,Positive,Negative,0.9861,-0.9861
509184,B000ND7E7G,5,Excellent quality at a great price,"Not only is this really good saffron at a price far lower than I'm accustomed to paying, but it's also packaged well, in cute little acrylic boxes that make it easy to share with others (as well as keeping it fresh until I'm ready to use it). I'm looking forward to buying some to slip into Christmas stockings this year - my family members love to give and get fancy foods and ingredients for cooking, and I know they'll be thrilled with this.",1308441600,2011-06-19,2011,6,444,Positive,Positive,0.9998,0.9998
182415,B008RWUKXK,5,Pleasantly surprised!,"This is my first experience with any sort of healthy grain snack. I have to say, I've become a fan. I find it difficult to enjoy healthier options because I do have such a sweet tooth but with the vanilla and the blueberry mixed in with these grains I don't miss the sugar. Plus, it helps to know that this snack is very healthy, not to mention quite tasty. When I think of healthy I don't usually think it will taste good as well.<br /><br />I've actually been looking for ways to add some sort of Omega-3 into my diet but it's been difficult because I don't like fish. This snack is full of flax seed which is full of the heart healthy Omega-3.<br /><br />When I first received the bag I thought, this reminds me of cereal. While reading the back label it actually say's you can add milk and have it just that way. I've yet to do that because I brought this product into work to have as a breakfast filler. It works perfectly for that as helps control your appetite. It fills me up and I feel good knowing it's a healthier option than what I'd usually go for.<br /><br />For me I'm so happy I found this product. Its low in sugar, full of Omega-3, and is made with 100% whole grains. They suggest trying this on top of yogurt or with milk. Both seem like delicious ideas that I can't wait to try.<br /><br /> I am pleasantly surprised I like this. I'll definitely be getting it again.",1320710400,2011-11-08,2011,11,1386,Positive,Positive,0.9988,0.9988
323910,B000M5XZVY,5,Best Canned Food Ever!,"I love this stuff! I have one cat, and have tried many canned foods. She always eats one bite, then a few minutes later throws up. She ate every last bite of this one, and never threw up since! I will keep buying this for my cat! It isn't expensive, and it also saves me a lot of work!",1276732800,2010-06-17,2010,6,285,Positive,Positive,0.9993,0.9993
386876,B000PGQQFC,5,"Not a fan of cinnamon, but this was DE-LIC-IOUS!","I had mine in a latte style, made with milk. SO GOOD. Would definitely recommend trying it, even if you are not a big cinnamon fan. I enjoy cinnamon, but I wouldn't say I love it... so don't shy away just because everyone raves about the cinnamon flavor. It definitely feels like a fall/holiday treat with the cinnamon and spice flavor.",1285372800,2010-09-25,2010,9,336,Positive,Positive,0.9996,0.9996
156138,B002866FCG,5,Love it,"I picked up this cereal when I was preparing for a hurricane.<br />We didn't get hit that bad, so I didn't have to use it.<br />But when the mood did strike me to have some cereal,<br />I was hoping that it would be a bit nostalgic and taste like Cinnamon Toast Crunch.<br />Well...it did.<br />I have to say that Cascadian Farm has some of the best organic products I have come across more than ane other brand.<br />While a lot of other brands sometimes tend to taste like cardboard, theirs don't.<br />Another win for Cascadian Farm :D",1316476800,2011-09-20,2011,9,538,Positive,Positive,0.9699,0.9699
401724,B000KDYPDK,3,yummy,"these are very good quality chocolates, they are a little dull, meaning ting a litt.le stale[?] but bthey still taste great. At 50% off, a good deal",1210291200,2008-05-09,2008,5,148,Neutral,Positive,0.9797,0.9797
55705,B00141QYMC,5,Dogswell Vitality chicken treats,"I have a Basset Hound and a medium mixed breed. They love these little chicken treats. I say ""chicken"" and they run to where the bag is kept. It's the one treat I can always get them to do their tricks for! I used to get them at a dog shop in a town over an hour away. Now, I get them on Amazon for a fraction of the price and they're delivered to my door every month (free shipping).",1264204800,2010-01-23,2010,1,384,Positive,Positive,0.9966,0.9966
39763,B005GIF5VU,5,Our cats love these!,These do seem to cut down on hair balls and our 2 cats devour them. We use a little less than recommended since they seem to cause runny stools. The auto-ship program is great and the cost is less than purchasing them at the local store.,1341360000,2012-07-04,2012,7,237,Positive,Negative,0.997,-0.997
79179,B002WDCIXK,5,DeCafe,Local stores don't seem to carry this item. They only have the kit of milk and cafenated expresso. They don't sell the milk separately and it is hard to find decafe expresso. Thank you Amazon,1278288000,2010-07-05,2010,7,191,Positive,Negative,0.9915,-0.9915
132574,B00141SPNI,1,Made my dog VERY ill,"I gave my 1 year old healthy dog one of these strips. Within 12 hours, he began a bout of diarrhea that has now lasted 4 days; vomiting began last night. We are on our way to the vet this morning -- I hope something can be done. That chicken strip was the ONLY change in his regular diet, so I am certain that his illness is a result of this product. I strongly suggest that you do not purchase this item. It looks like some sort of high-quality, natural product, but I believe that's just marketing. I have contacted the store at which I purchased the treats as well as the company. I hope that the product is taken off the market and that no other dogs and owners have to go through the experience we've had with Mellow Mut chicken strips.",1331078400,2012-03-07,2012,3,741,Negative,Negative,0.9952,-0.9952
